"#","[THREAD_NUMBER]","[RED]","[GREEN]","[BLUE]","[DESCRIPTION]","[CATALOG_NUMBER]"
"#","[STITCH_TYPE]","[X]","[Y]"
"$","1","22","22","20","(null)","(null)"
"*","JUMP","15.322154","24.500000"
"*","STITCH","15.322154","24.500000"
"*","STITCH","12.748733","24.500000"
"*","STITCH","10.275695","24.500000"
"*","STITCH","12.748733","24.500000"
"*","STITCH","15.322154","24.500000"
"*","STITCH","16.339354","24.250000"
"*","STITCH","13.498733","24.250000"
"*","STITCH","10.498733","24.250000"
"*","STITCH","9.258533","24.250000"
"*","STITCH","8.476988","24.000000"
"*","STITCH","11.248733","24.000000"
"*","STITCH","14.248733","24.000000"
"*","STITCH","17.120917","24.000000"
"*","STITCH","17.766157","23.750000"
"*","STITCH","14.998733","23.750000"
"*","STITCH","11.998733","23.750000"
"*","STITCH","8.998733","23.750000"
"*","STITCH","7.831756","23.750000"
"*","STITCH","7.276868","23.500000"
"*","STITCH","9.748733","23.500000"
"*","STITCH","12.748733","23.500000"
"*","STITCH","15.748733","23.500000"
"*","STITCH","18.321046","23.500000"
"*","STITCH","18.812331","23.250000"
"*","STITCH","16.498733","23.250000"
"*","STITCH","13.498733","23.250000"
"*","STITCH","10.498733","23.250000"
"*","STITCH","7.498733","23.250000"
"*","STITCH","6.785580","23.250000"
"*","STITCH","6.341211","23.000000"
"*","STITCH","8.248733","23.000000"
"*","STITCH","11.248733","23.000000"
"*","STITCH","14.248733","23.000000"
"*","STITCH","17.248733","23.000000"
"*","STITCH","19.256694","23.000000"
"*","STITCH","19.665140","22.750000"
"*","STITCH","17.998733","22.750000"
"*","STITCH","14.998733","22.750000"
"*","STITCH","11.998733","22.750000"
"*","STITCH","8.998733","22.750000"
"*","STITCH","5.998733","22.750000"
"*","STITCH","5.932757","22.750000"
"*","STITCH","5.552614","22.500000"
"*","STITCH","6.748733","22.500000"
"*","STITCH","9.748733","22.500000"
"*","STITCH","12.748733","22.500000"
"*","STITCH","15.748733","22.500000"
"*","STITCH","18.748733","22.500000"
"*","STITCH","20.045274","22.500000"
"*","STITCH","20.396834","22.250000"
"*","STITCH","19.498733","22.250000"
"*","STITCH","16.498733","22.250000"
"*","STITCH","13.498733","22.250000"
"*","STITCH","10.498733","22.250000"
"*","STITCH","7.498733","22.250000"
"*","STITCH","5.201043","22.250000"
"*","STITCH","4.877167","22.000000"
"*","STITCH","5.248733","22.000000"
"*","STITCH","8.248733","22.000000"
"*","STITCH","11.248733","22.000000"
"*","STITCH","14.248733","22.000000"
"*","STITCH","17.248733","22.000000"
"*","STITCH","20.248733","22.000000"
"*","STITCH","20.720697","22.000000"
"*","STITCH","21.029720","21.750000"
"*","STITCH","20.998733","21.750000"
"*","STITCH","17.998733","21.750000"
"*","STITCH","14.998733","21.750000"
"*","STITCH","11.998733","21.750000"
"*","STITCH","8.998733","21.750000"
"*","STITCH","5.998733","21.750000"
"*","STITCH","4.568132","21.750000"
"*","STITCH","4.279509","21.500000"
"*","STITCH","6.748733","21.500000"
"*","STITCH","9.748733","21.500000"
"*","STITCH","12.748733","21.500000"
"*","STITCH","15.748733","21.500000"
"*","STITCH","18.748733","21.500000"
"*","STITCH","21.318329","21.500000"
"*","STITCH","21.588483","21.250000"
"*","STITCH","19.498733","21.250000"
"*","STITCH","16.498733","21.250000"
"*","STITCH","13.498733","21.250000"
"*","STITCH","10.498733","21.250000"
"*","STITCH","7.498733","21.250000"
"*","STITCH","4.498733","21.250000"
"*","STITCH","4.009341","21.250000"
"*","STITCH","3.747205","21.000000"
"*","STITCH","5.248733","21.000000"
"*","STITCH","8.248733","21.000000"
"*","STITCH","11.248733","21.000000"
"*","STITCH","14.248733","21.000000"
"*","STITCH","17.248733","21.000000"
"*","STITCH","20.248733","21.000000"
"*","STITCH","21.850606","21.000000"
"*","STITCH","22.088958","20.750000"
"*","STITCH","20.998733","20.750000"
"*","STITCH","17.998733","20.750000"
"*","STITCH","14.998733","20.750000"
"*","STITCH","11.998733","20.750000"
"*","STITCH","8.998733","20.750000"
"*","STITCH","5.998733","20.750000"
"*","STITCH","3.508838","20.750000"
"*","STITCH","3.275392","20.500000"
"*","STITCH","3.748733","20.500000"
"*","STITCH","6.748733","20.500000"
"*","STITCH","9.748733","20.500000"
"*","STITCH","12.748733","20.500000"
"*","STITCH","15.748733","20.500000"
"*","STITCH","18.748733","20.500000"
"*","STITCH","21.748733","20.500000"
"*","STITCH","22.322389","20.500000"
"*","STITCH","22.538945","20.250000"
"*","STITCH","22.498733","20.250000"
"*","STITCH","19.498733","20.250000"
"*","STITCH","16.498733","20.250000"
"*","STITCH","13.498733","20.250000"
"*","STITCH","10.498733","20.250000"
"*","STITCH","7.498733","20.250000"
"*","STITCH","4.498733","20.250000"
"*","STITCH","3.058822","20.250000"
"*","STITCH","2.849647","20.000000"
"*","STITCH","5.248733","20.000000"
"*","STITCH","8.248733","20.000000"
"*","STITCH","11.248733","20.000000"
"*","STITCH","14.248733","20.000000"
"*","STITCH","17.248733","20.000000"
"*","STITCH","20.248733","20.000000"
"*","STITCH","22.748105","20.000000"
"*","STITCH","22.944567","19.750000"
"*","STITCH","20.998733","19.750000"
"*","STITCH","17.998733","19.750000"
"*","STITCH","14.998733","19.750000"
"*","STITCH","11.998733","19.750000"
"*","STITCH","8.998733","19.750000"
"*","STITCH","5.998733","19.750000"
"*","STITCH","2.998733","19.750000"
"*","STITCH","2.653171","19.750000"
"*","STITCH","2.464800","19.500000"
"*","STITCH","3.748733","19.500000"
"*","STITCH","6.748733","19.500000"
"*","STITCH","9.748733","19.500000"
"*","STITCH","12.748733","19.500000"
"*","STITCH","15.748733","19.500000"
"*","STITCH","18.748733","19.500000"
"*","STITCH","21.748733","19.500000"
"*","STITCH","23.132923","19.500000"
"*","STITCH","23.310702","19.250000"
"*","STITCH","22.498733","19.250000"
"*","STITCH","19.591282","19.250000"
"*","STITCH","19.674249","19.000000"
"*","STITCH","20.248733","19.000000"
"*","STITCH","23.248733","19.000000"
"*","STITCH","23.481015","19.000000"
"*","STITCH","23.641287","18.750000"
"*","STITCH","20.998733","18.750000"
"*","STITCH","19.745274","18.750000"
"*","STITCH","19.803944","18.500000"
"*","STITCH","21.748733","18.500000"
"*","STITCH","23.795790","18.500000"
"*","STITCH","23.939537","18.250000"
"*","STITCH","22.498733","18.250000"
"*","STITCH","19.847803","18.250000"
"*","STITCH","19.879395","18.000000"
"*","STITCH","20.248733","18.000000"
"*","STITCH","23.248733","18.000000"
"*","STITCH","24.080065","18.000000"
"*","STITCH","24.208108","17.750000"
"*","STITCH","23.998733","17.750000"
"*","STITCH","20.998733","17.750000"
"*","STITCH","19.898448","17.750000"
"*","STITCH","19.900156","17.500000"
"*","STITCH","21.748733","17.500000"
"*","STITCH","24.336150","17.500000"
"*","STITCH","24.449213","17.250000"
"*","STITCH","22.498733","17.250000"
"*","STITCH","19.896413","17.250000"
"*","STITCH","19.872210","17.000000"
"*","STITCH","20.248733","17.000000"
"*","STITCH","23.248733","17.000000"
"*","STITCH","24.562236","17.000000"
"*","STITCH","24.664719","16.750000"
"*","STITCH","23.998733","16.750000"
"*","STITCH","20.998733","16.750000"
"*","STITCH","19.838992","16.750000"
"*","STITCH","19.787692","16.500000"
"*","STITCH","21.748733","16.500000"
"*","STITCH","24.748733","16.500000"
"*","STITCH","24.763291","16.500000"
"*","STITCH","24.856212","16.250000"
"*","STITCH","22.498733","16.250000"
"*","STITCH","19.717479","16.250000"
"*","STITCH","19.692934","16.000000"
"*","STITCH","20.248733","16.000000"
"*","STITCH","23.248733","16.000000"
"*","STITCH","24.940802","16.000000"
"*","STITCH","25.025050","15.750000"
"*","STITCH","23.998733","15.750000"
"*","STITCH","20.998733","15.750000"
"*","STITCH","19.903076","15.750000"
"*","STITCH","20.084345","15.500000"
"*","STITCH","21.748733","15.500000"
"*","STITCH","24.748733","15.500000"
"*","STITCH","25.096042","15.500000"
"*","STITCH","25.167034","15.250000"
"*","STITCH","22.498733","15.250000"
"*","STITCH","20.248502","15.250000"
"*","STITCH","20.391508","15.000000"
"*","STITCH","23.248733","15.000000"
"*","STITCH","25.230110","15.000000"
"*","STITCH","25.287809","14.750000"
"*","STITCH","23.998733","14.750000"
"*","STITCH","20.998733","14.750000"
"*","STITCH","20.511645","14.750000"
"*","STITCH","20.622120","14.500000"
"*","STITCH","21.748733","14.500000"
"*","STITCH","24.748733","14.500000"
"*","STITCH","25.343963","14.500000"
"*","STITCH","25.388609","14.250000"
